Inference for Stan model: anon_model_5d703b856fa2f28cab8159e4abe012f4.
4 chains, each with iter=20000; warmup=10000; thin=1; 
post-warmup draws per chain=10000, total post-warmup draws=40000.

                    mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
outl_loglike[100]   4.76  3.3e-3   0.59   3.72   4.34   4.72   5.14   6.03  32788    1.0
outl_loglike[101]   3.81  4.2e-3    0.8   2.18    3.3   3.82   4.34   5.36  35804    1.0
outl_loglike[102]   4.78  3.3e-3   0.59   3.76   4.36   4.73   5.15   6.04  32430    1.0
outl_loglike[103]   4.38  3.6e-3   0.67    3.1   3.93   4.36   4.81   5.74  35065    1.0
outl_loglike[104]   4.57  3.4e-3   0.64   3.38   4.13   4.54   4.98   5.89  35511    1.0
outl_loglike[105]   4.64  3.7e-3   0.65   3.41   4.21   4.62   5.05   5.96  30323    1.0
outl_loglike[106]   4.35  3.9e-3   0.75   2.81   3.89   4.37   4.84    5.8  37497    1.0
outl_loglike[107]   4.77  3.2e-3   0.59   3.75   4.35   4.73   5.15   6.04  33232    1.0
outl_loglike[108]    4.6  3.4e-3   0.63   3.46   4.17   4.57    5.0   5.92  34785    1.0
outl_loglike[109]   4.61  3.5e-3   0.64   3.42   4.17   4.58   5.02   5.93  34551    1.0
outl_loglike[110]   4.71  3.3e-3   0.61   3.65   4.29   4.67    5.1    6.0  33210    1.0
outl_loglike[111]   4.55  3.4e-3   0.64   3.39   4.12   4.53   4.96   5.89  34338    1.0
outl_loglike[112]   4.45  3.6e-3   0.67   3.15    4.0   4.43   4.88   5.81  35608    1.0
outl_loglike[113]   4.53  3.4e-3   0.65   3.34   4.09   4.51   4.95   5.87  35657    1.0
outl_loglike[114]   4.56  3.5e-3   0.64   3.37   4.12   4.53   4.97   5.89  33406    1.0
outl_loglike[115]   2.98  5.6e-3   1.05   0.69   2.35   3.05   3.68   4.84  36040    1.0
outl_loglike[116]   4.74  3.3e-3    0.6   3.69   4.32    4.7   5.12   6.02  32904    1.0
outl_loglike[117]   4.61  3.4e-3   0.63   3.48   4.18   4.58   5.01   5.91  34258    1.0
outl_loglike[118]   4.18  4.0e-3   0.76   2.62   3.69   4.19   4.68   5.66  36319    1.0
outl_loglike[119]   4.74  3.3e-3    0.6    3.7   4.32    4.7   5.12   6.02  33122    1.0
outl_loglike[120]   4.71  3.4e-3   0.61   3.62   4.29   4.67    5.1   6.01  31467    1.0
outl_loglike[121]   3.91  4.4e-3   0.87   2.07   3.38   3.95   4.49   5.53  38476    1.0
outl_loglike[122]   4.64  3.4e-3   0.63   3.48   4.21   4.61   5.05   5.95  34208    1.0
outl_loglike[123]   4.74  3.3e-3    0.6   3.68   4.32    4.7   5.12   6.02  32575    1.0
outl_loglike[124]   4.37  4.1e-3   0.77   2.73   3.92   4.39   4.87   5.81  34813    1.0
outl_loglike[125]   4.58  3.6e-3   0.67   3.31   4.15   4.56   5.01   5.92  34358    1.0
outl_loglike[126]   4.71  3.3e-3   0.61   3.62   4.29   4.68    5.1    6.0  33461    1.0
outl_loglike[127]   4.57  4.1e-3    0.7   3.15   4.15   4.57   5.01   5.92  29224    1.0
outl_loglike[128]   4.76  3.3e-3   0.59   3.72   4.34   4.72   5.14   6.04  31800    1.0
outl_loglike[129]   4.51  3.6e-3   0.68   3.16   4.07    4.5   4.95   5.88  36151    1.0
outl_loglike[130]   2.85  6.0e-3   1.15    0.3   2.19   2.95   3.63   4.85  36534    1.0
outl_loglike[131]   4.25  4.0e-3   0.77   2.68   3.77   4.27   4.75   5.72  37638    1.0
outl_loglike[132]   4.48  3.8e-3   0.71   3.06   4.03   4.48   4.93   5.87  34692    1.0
outl_loglike[133]   3.95  4.3e-3   0.83   2.22   3.42   3.97   4.51   5.51  37930    1.0
outl_loglike[134]   4.39  4.0e-3   0.74   2.87   3.94    4.4   4.87    5.8  34856    1.0
outl_loglike[135]   4.74  3.4e-3    0.6   3.68   4.32    4.7   5.12   6.02  31915    1.0
outl_loglike[136]   4.74  3.3e-3    0.6   3.69   4.32    4.7   5.12   6.02  32959    1.0
outl_loglike[137]   4.34  3.8e-3   0.73   2.84   3.87   4.34   4.82   5.77  37205    1.0
outl_loglike[138]   3.81  4.7e-3   0.92   1.81   3.26   3.87   4.42   5.47  38913    1.0
outl_loglike[139]   3.87  4.5e-3    0.9   1.92   3.33   3.92   4.47    5.5  39984    1.0
outl_loglike[140]   4.53  3.8e-3    0.7   3.09   4.09   4.52   4.98   5.89  33910    1.0
outl_loglike[141]   4.64  3.5e-3   0.63   3.47   4.21   4.61   5.05   5.95  32359    1.0
outl_loglike[142]   4.72  3.4e-3   0.61   3.63    4.3   4.68   5.11   6.01  32601    1.0
