# FITOPT: ->FITOPT000
# FITOPT:	 NONE
# ----------------------------------------
NVAR: 34
VARNAMES:  CID IDSURVEY TYPE FIELD CUTFLAG_SNANA zCMB zCMBERR zHD zHDERR VPEC VPEC_ERR HOST_LOGMASS HOST_LOGMASS_ERR SNRMAX1 SNRMAX2 SNRMAX3 PKMJD PKMJDERR x1 x1ERR c cERR mB mBERR x0 x0ERR COV_x1_c COV_x1_x0 COV_c_x0 NDOF FITCHI2 FITPROB PIa DISTCORR
# VERSION_SNANA		 = v10_45j
# TABLE NAME: FITRES
#

SN: 2008bq 5 1 NULL 1 0.0336 0.0000 0.0327 0.0000 -262.2890 0.0000 11.4710 3.0620 85.7494 85.7494 85.7493 54563.7 0.1 3.37600e-01 5.02568e-02 5.65509e-02 2.54135e-02 1.64780e+01 5.37557e-02 4.60869e-03 2.28180e-04 -2.86808e-04 1.96247e-06 -4.32943e-06 60 47.2272 0.8847 1.0000 -0.0019
SN: 2008gp 5 1 NULL 1 0.0328 0.0000 0.0340 0.0000 343.2041 0.0000 10.6630 3.9980 85.7493 85.7493 85.7493 54779.2 0.0 -1.17443e-01 3.20328e-02 -8.10982e-02 2.69834e-02 1.61599e+01 6.66121e-02 6.17993e-03 3.79151e-04 -1.85539e-04 1.79800e-06 -7.89596e-06 71 92.3617 0.0452 1.0000 -0.0024
SN: 2008hv 5 1 NULL 1 0.0136 0.0000 0.0138 0.0000 68.4214 0.0000 10.6370 0.1880 92.8477 92.8477 92.8477 54817.0 0.0 -1.27083e+00 3.78073e-02 -5.39144e-02 2.29960e-02 1.44801e+01 2.82098e-02 2.87636e-02 7.47343e-04 -1.41376e-04 9.55771e-07 -1.30711e-05 72 74.0311 0.4117 1.0000 0.0078
SN: 1993ac 61 0 NULL 1 0.0502 0.0000 0.0509 0.0000 215.2501 0.0000 11.7800 0.6300 54.2873 54.2863 27.1440 49271.2 0.1 -9.02795e-01 2.26200e-01 5.26879e-03 4.08795e-02 1.75697e+01 9.32235e-02 1.70237e-03 1.46169e-04 2.15703e-03 -6.07618e-06 -4.77230e-06 10 9.7838 0.5499 1.0000 -0.0123
SN: 1993ae 61 0 NULL 1 0.0169 0.0000 0.0175 0.0000 176.7738 0.0000 10.2780 0.0300 54.2897 54.2874 54.2871 49289.6 0.3 -1.52170e+00 1.26900e-01 -1.08997e-01 3.19299e-02 1.50376e+01 4.90435e-02 1.72290e-02 7.78248e-04 9.50240e-04 -5.76070e-05 -1.96656e-05 24 15.0589 0.9400 1.0000 0.0067
SN: 1994m 61 0 NULL 1 0.0243 0.0000 0.0248 0.0000 153.1202 0.0000 11.3500 0.6000 54.2883 54.2861 54.2860 49475.6 0.3 -1.42678e+00 9.10091e-02 4.46451e-02 2.80543e-02 1.60159e+01 3.63941e-02 7.02364e-03 2.35434e-04 -8.01263e-05 7.77109e-07 -5.23848e-06 36 54.8745 0.0294 1.0000 0.0027
SN: 1994q 61 0 NULL 1 0.0296 0.0000 0.0288 0.0000 -226.1820 0.0000 11.1560 0.0130 36.1915 27.1442 27.1436 49496.5 0.5 8.50300e-01 2.98600e-01 4.11770e-02 3.90976e-02 1.61056e+01 6.72926e-02 6.48336e-03 4.01831e-04 4.57103e-03 -6.05189e-05 -1.36670e-05 23 4.5269 1.0000 1.0000 -0.0001
SN: 1994s 61 0 NULL 1 0.0161 0.0000 0.0157 0.0000 -128.5410 0.0000 10.6030 0.2100 36.1924 36.1920 36.1915 49518.8 0.2 3.00500e-01 1.81300e-01 -9.85226e-02 2.79825e-02 1.44759e+01 3.52628e-02 2.88914e-02 9.38344e-04 5.64046e-04 -5.98921e-05 -2.17079e-05 24 37.4205 0.0397 1.0000 0.0072
SN: 1995ak 61 0 NULL 1 0.0219 0.0000 0.0220 0.0000 10.7873 0.0000 10.2700 0.0500 45.2397 38.7756 32.9010 50022.2 0.2 -1.05089e+00 1.11500e-01 6.88128e-02 3.19858e-02 1.57543e+01 4.42108e-02 8.92055e-03 3.63242e-04 7.20601e-04 -1.45237e-05 -9.59498e-06 31 56.1217 0.0053 1.0000 0.0047
SN: 1996ab 61 0 NULL 1 0.1242 0.0000 0.1242 0.0000 15.6088 0.0000 -9.0000 -9.0000 36.1922 36.1900 -99.0000 50223.6 1.0 -5.89906e-02 3.82000e-01 -1.80007e-01 2.89368e-02 1.92691e+01 4.37947e-02 3.62574e-04 1.46249e-05 -1.34285e-03 3.29713e-06 -1.11262e-07 25 25.4449 0.4939 1.0000 -0.0326
