Inference for Stan model: anon_model_5d703b856fa2f28cab8159e4abe012f4.
4 chains, each with iter=20000; warmup=10000; thin=1; 
post-warmup draws per chain=10000, total post-warmup draws=40000.

                    mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
outl_loglike[102]   4.21  3.1e-3   0.63    2.7   3.89   4.31   4.64   5.19  40471    1.0
outl_loglike[103]   4.36  4.1e-3   0.56   3.02   4.13   4.44    4.7   5.22  18728    1.0
outl_loglike[104]   3.36  3.2e-3   0.77   1.61   2.91   3.44    3.9   4.66  57271    1.0
outl_loglike[105]   1.37    0.03   4.15 -11.04   0.92   2.93   3.84   4.67  20744    1.0
outl_loglike[106]    4.5  2.1e-3   0.42   3.59   4.25   4.52   4.77   5.28  38281    1.0
outl_loglike[107]   4.56  1.9e-3   0.38    3.8   4.32   4.56   4.81   5.31  39464    1.0
outl_loglike[108]    4.3  4.6e-3   0.63   2.73   4.07    4.4   4.68   5.21  19207    1.0
outl_loglike[109]   4.06  7.7e-3   1.13   1.56    3.8   4.31   4.64   5.19  21400    1.0
outl_loglike[110]   4.32  4.7e-3   0.66   2.73    4.1   4.43   4.71   5.22  19746    1.0
outl_loglike[111]   4.54  2.3e-3   0.42   3.62    4.3   4.56    4.8   5.31  33298    1.0
outl_loglike[112]   4.28  5.0e-3    0.7   2.58   4.05    4.4   4.68   5.21  19503    1.0
outl_loglike[113]   4.39  2.0e-3   0.44   3.45   4.12   4.41   4.68   5.21  46545    1.0
outl_loglike[114]   3.45  2.9e-3   0.71   1.89   3.02   3.52   3.95   4.67  60732    1.0
outl_loglike[115]   3.64  2.7e-3   0.64   2.22   3.25   3.69   4.08   4.76  58230    1.0
outl_loglike[116]   3.93  3.2e-3   0.69   2.31   3.55   4.03   4.41   5.04  46078    1.0
outl_loglike[117]   3.37  3.3e-3   0.77   1.67   2.91   3.45   3.91   4.68  53072    1.0
outl_loglike[118]    4.6  1.8e-3   0.36    3.9   4.37    4.6   4.83   5.32  39441    1.0
outl_loglike[119]   4.45  3.5e-3   0.51   3.23   4.22   4.51   4.77   5.28  20951    1.0
outl_loglike[120]   4.43  3.5e-3   0.51    3.2   4.19   4.49   4.75   5.26  20959    1.0
outl_loglike[121]   4.34  4.4e-3   0.62   2.77   4.11   4.43   4.71   5.23  19659    1.0
outl_loglike[122]   2.55    0.01   1.97  -2.98   1.88   3.03   3.83   4.79  31423    1.0
outl_loglike[123]   4.47  3.2e-3   0.47   3.38   4.23   4.51   4.77   5.28  21522    1.0
outl_loglike[124]   4.57  1.9e-3   0.37   3.83   4.33   4.57   4.81   5.31  39598    1.0
outl_loglike[125]   4.34  4.7e-3   0.64   2.78   4.11   4.44   4.72   5.23  18596    1.0
outl_loglike[126]   4.01  2.3e-3   0.56   2.79   3.68   4.06   4.39   4.99  56808    1.0
outl_loglike[127]   4.56  2.1e-3    0.4   3.73   4.33   4.58   4.82   5.32  35154    1.0
outl_loglike[128]    4.3  4.7e-3    0.7   2.59   4.06   4.42    4.7   5.23  22286    1.0
outl_loglike[129]    3.9  4.2e-3   0.88   1.71   3.49   4.08    4.5   5.11  43669    1.0
outl_loglike[130]   4.29  4.0e-3   0.64   2.66   4.04   4.41    4.7   5.23  26497    1.0
outl_loglike[131]   4.33  4.5e-3   0.62   2.78   4.09   4.43    4.7   5.22  18874    1.0
outl_loglike[132]   4.26  3.8e-3   0.67   2.55   3.98   4.39   4.69   5.23  32113    1.0
outl_loglike[133]   4.44  3.6e-3   0.51   3.21   4.21    4.5   4.76   5.27  19672    1.0
outl_loglike[134]   4.59  2.1e-3   0.38   3.82   4.35   4.59   4.83   5.32  33743    1.0
outl_loglike[135]   4.49  2.9e-3   0.46    3.4   4.25   4.53   4.78   5.28  26283    1.0
outl_loglike[136]   4.16  2.4e-3   0.52   3.03   3.85    4.2   4.52   5.09  45996    1.0
outl_loglike[137]   4.15  4.5e-3   0.76    2.2   3.85   4.31   4.64   5.19  29285    1.0
outl_loglike[138]   4.58  2.4e-3   0.39   3.78   4.35   4.59   4.83   5.33  25374    1.0
outl_loglike[139]   4.66  2.0e-3   0.34    4.0   4.43   4.65   4.88   5.36  30189    1.0
outl_loglike[140]   4.49  2.3e-3   0.44   3.51   4.25   4.52   4.78   5.28  35872    1.0
outl_loglike[141]   4.61  2.2e-3   0.37   3.87   4.38   4.61   4.84   5.34  29122    1.0
outl_loglike[142]   3.32  4.0e-3   0.95   1.07   2.81   3.46   3.99   4.76  56131    1.0
outl_loglike[143]   4.53  2.3e-3   0.42   3.61   4.29   4.55    4.8   5.31  33028    1.0
outl_loglike[144]   4.13  4.5e-3   0.79   2.14   3.82    4.3   4.63   5.18  30969    1.0
outl_loglike[145]   4.36  4.1e-3   0.59   2.91   4.12   4.44   4.72   5.24  20756    1.0
outl_loglike[146]   4.33  2.5e-3   0.51   3.15   4.05   4.37   4.66    5.2  43034    1.0
outl_loglike[147]    4.4  3.9e-3   0.56   3.04   4.17   4.47   4.74   5.27  20385    1.0
outl_loglike[148]   4.25  5.4e-3   0.78   2.36   4.02    4.4   4.69   5.23  20696    1.0
outl_loglike[149]   3.49    0.01   1.61  -0.66   3.08   3.91   4.42   5.06  24045    1.0
outl_loglike[150]   4.26  4.9e-3   0.71   2.52   4.02   4.38   4.67    5.2  20574    1.0
outl_loglike[151]   3.27  1.7e-3   0.33   2.68   3.04   3.25   3.48   3.97  37786    1.0
outl_loglike[152]   4.68  1.8e-3   0.33   4.06   4.45   4.66   4.89   5.37  34191    1.0
outl_loglike[153]   4.37  2.4e-3    0.5   3.22   4.09   4.41    4.7   5.24  42674    1.0
outl_loglike[154]   4.42  3.6e-3   0.51   3.19   4.18   4.47   4.74   5.25  20302    1.0
outl_loglike[155]    3.9  2.9e-3   0.69   2.32   3.51   3.99   4.37   5.01  57688    1.0
outl_loglike[156]   3.27  1.7e-3   0.33   2.68   3.04   3.25   3.48   3.97  37786    1.0
outl_loglike[157]   4.26  5.1e-3   0.74   2.45   4.03    4.4   4.69   5.21  20942    1.0
outl_loglike[158]   4.55  2.7e-3   0.42   3.63   4.31   4.57   4.81   5.32  23520    1.0
outl_loglike[159]   4.42  1.9e-3   0.41   3.57   4.15   4.42   4.69   5.21  46975    1.0
outl_loglike[160]   4.57  2.5e-3    0.4   3.74   4.33   4.58   4.82   5.31  25390    1.0
outl_loglike[161]   4.57  2.5e-3   0.39   3.76   4.34   4.58   4.82   5.32  23831    1.0
outl_loglike[162]   4.39  3.8e-3   0.55   3.05   4.16   4.46   4.73   5.26  21455    1.0
outl_loglike[163]   4.15  2.5e-3   0.57   2.86   3.83   4.21   4.54   5.12  51318    1.0
outl_loglike[164]   4.69  1.7e-3   0.33    4.1   4.46   4.67    4.9   5.38  35877    1.0
outl_loglike[165]   4.27  5.9e-3   0.76   2.43   4.05   4.41   4.69   5.22  16476    1.0
outl_loglike[166]   4.42  3.8e-3   0.54    3.1   4.18   4.49   4.75   5.26  19674    1.0
outl_loglike[167]   3.91  3.2e-3   0.72   2.22   3.51   4.01   4.41   5.04  51399    1.0
outl_loglike[168]   4.42  2.0e-3   0.42   3.54   4.16   4.43    4.7   5.22  45120    1.0
outl_loglike[169]   4.65  1.9e-3   0.34    4.0   4.42   4.64   4.87   5.36  33498    1.0
outl_loglike[170]   4.42  2.7e-3    0.5   3.24   4.17   4.47   4.74   5.26  33732    1.0
outl_loglike[171]    4.5  2.9e-3   0.46   3.41   4.26   4.54   4.79    5.3  25314    1.0
outl_loglike[172]   4.62  2.1e-3   0.37   3.89   4.38   4.62   4.85   5.34  30891    1.0
outl_loglike[173]   4.49  3.0e-3   0.45   3.47   4.26   4.52   4.77   5.28  21916    1.0
outl_loglike[174]   4.44  3.5e-3   0.53   3.14    4.2    4.5   4.76   5.28  22906    1.0
outl_loglike[175]   4.63  2.0e-3   0.35   3.94    4.4   4.63   4.86   5.35  32308    1.0
outl_loglike[176]   4.56  2.5e-3    0.4   3.72   4.33   4.57   4.82   5.32  26872    1.0
outl_loglike[177]   4.06  4.9e-3   0.86   1.89   3.71   4.25    4.6   5.18  30975    1.0
outl_loglike[178]   4.45  2.7e-3   0.48   3.36    4.2   4.49   4.75   5.27  31805    1.0
outl_loglike[179]   4.41  3.4e-3   0.52   3.13   4.17   4.47   4.73   5.25  23697    1.0
outl_loglike[180]   4.44  2.9e-3    0.5   3.25    4.2    4.5   4.76   5.27  30626    1.0
outl_loglike[181]   4.51  2.7e-3   0.45   3.49   4.27   4.54   4.79   5.29  28390    1.0
outl_loglike[182]   4.51  1.9e-3   0.39   3.71   4.26   4.51   4.76   5.27  43235    1.0
outl_loglike[183]    4.1  5.1e-3   0.87   1.88   3.79    4.3   4.63   5.19  29658    1.0
outl_loglike[184]   4.17  3.4e-3   0.67   2.53   3.86   4.29   4.61   5.17  38399    1.0
outl_loglike[185]   4.35  4.4e-3   0.62   2.83   4.12   4.44   4.72   5.25  19436    1.0
outl_loglike[186]   4.27  4.6e-3    0.7   2.55   4.03    4.4   4.68   5.21  22618    1.0
outl_loglike[187]   4.16  6.8e-3   0.95   1.97   3.93   4.35   4.66   5.19  19479    1.0
outl_loglike[188]    4.4  3.9e-3   0.57    3.0   4.16   4.47   4.74   5.26  21600    1.0
outl_loglike[189]   4.42  2.0e-3   0.42   3.55   4.16   4.43    4.7   5.22  44467    1.0
outl_loglike[190]   4.43  3.4e-3   0.53   3.14    4.2   4.49   4.76   5.27  24329    1.0
outl_loglike[191]   4.64  1.9e-3   0.35   3.97   4.41   4.63   4.87   5.36  32880    1.0
outl_loglike[192]   4.57  2.5e-3   0.39   3.75   4.34   4.58   4.82   5.32  24389    1.0
outl_loglike[193]   4.41  3.7e-3   0.55   3.07   4.17   4.48   4.75   5.26  22621    1.0
outl_loglike[194]    4.4  2.6e-3    0.5   3.23   4.13   4.45   4.72   5.24  38375    1.0
outl_loglike[195]   4.28  3.8e-3   0.67   2.57   4.02   4.41    4.7   5.24  30521    1.0
outl_loglike[196]   4.55  2.5e-3   0.41   3.67   4.31   4.57   4.81   5.32  27952    1.0
outl_loglike[197]   4.47  2.3e-3   0.45   3.48   4.21    4.5   4.76   5.27  38765    1.0
outl_loglike[198]   4.02  2.4e-3   0.57   2.74   3.68   4.07   4.41   5.01  55382    1.0
outl_loglike[199]   4.26  5.5e-3   0.79   2.36   4.02   4.41   4.71   5.23  20417    1.0
outl_loglike[200]   4.51  1.9e-3    0.4   3.69   4.26   4.51   4.76   5.27  43109    1.0
outl_loglike[201]   3.98  3.8e-3   0.79   2.06   3.59   4.12   4.52   5.12  43491    1.0
outl_loglike[202]   4.39  3.2e-3   0.56   3.03   4.14   4.46   4.74   5.26  30438    1.0
outl_loglike[203]   4.16  3.7e-3   0.65   2.56   3.86   4.28   4.59   5.14  31694    1.0
outl_loglike[204]   4.28  4.3e-3   0.69   2.54   4.04    4.4   4.69   5.22  25862    1.0
outl_loglike[205]   4.67  1.8e-3   0.34   4.04   4.44   4.66   4.89   5.37  33676    1.0
outl_loglike[206]   4.34  2.4e-3   0.49   3.23   4.06   4.38   4.66    5.2  40520    1.0
outl_loglike[207]   3.76  4.6e-3   0.94   1.47   3.32   3.95    4.4   5.05  41890    1.0
outl_loglike[208]   4.55  2.7e-3   0.41   3.65   4.32   4.57   4.81   5.31  23689    1.0
outl_loglike[209]   4.48  3.0e-3   0.46    3.4   4.24   4.52   4.77   5.27  24816    1.0
outl_loglike[210]   3.74  2.5e-3   0.59   2.47   3.38   3.78   4.15    4.8  55697    1.0
outl_loglike[211]   4.44  2.8e-3    0.5   3.25   4.19   4.49   4.75   5.27  31304    1.0
outl_loglike[212]    2.7    0.02    2.9   -6.4   2.38   3.59   4.28   5.02  20252    1.0
outl_loglike[213]   4.33  3.8e-3   0.61    2.8   4.08   4.43   4.71   5.24  26062    1.0
outl_loglike[214]   4.51  2.1e-3   0.42   3.61   4.26   4.52   4.78   5.29  38343    1.0
outl_loglike[215]   4.55  1.9e-3   0.38   3.78   4.31   4.55   4.79   5.29  40433    1.0
outl_loglike[216]   3.66  4.8e-3   1.01   1.18   3.19   3.86   4.36   5.03  44590    1.0
outl_loglike[217]   4.52  3.0e-3   0.43   3.54   4.29   4.54   4.79   5.29  21171    1.0
outl_loglike[218]   4.52  2.1e-3   0.41   3.64   4.27   4.53   4.79    5.3  37411    1.0
outl_loglike[219]   4.36  4.7e-3   0.61    2.9   4.13   4.45   4.72   5.24  17399    1.0
outl_loglike[220]    4.6  2.1e-3   0.38   3.83   4.36    4.6   4.84   5.33  30786    1.0
outl_loglike[221]    4.3  2.8e-3   0.56   2.96   4.01   4.37   4.67    5.2  39112    1.0
outl_loglike[222]   4.53  2.6e-3   0.43   3.57   4.29   4.55    4.8    5.3  26961    1.0
outl_loglike[223]   4.56  2.6e-3    0.4   3.68   4.33   4.57   4.81   5.31  23867    1.0
outl_loglike[224]    4.4  2.3e-3   0.47   3.35   4.13   4.44   4.71   5.24  42183    1.0
outl_loglike[225]   3.14  4.6e-3   1.04   0.69   2.58   3.28   3.87   4.73  52102    1.0
outl_loglike[226]   4.38  3.1e-3   0.55   3.03   4.13   4.46   4.73   5.26  32308    1.0
outl_loglike[227]   4.65  1.9e-3   0.34    4.0   4.42   4.64   4.87   5.36  32462    1.0
outl_loglike[228]    4.6  2.1e-3   0.37   3.86   4.36    4.6   4.83   5.32  29238    1.0
